#"Versus.0002" "r Id_vs_Vgs" "i Id_vs_Vgs"
2.09409 7.64639e-10 0
2.0951 7.64639e-10 0
2.0961 7.64639e-10 0
2.0971 7.64639e-10 0
2.0981 7.64639e-10 0
2.0991 7.64639e-10 0
2.1001 3.26987e-09 0
2.1011 3.03716e-07 0
2.1021 1.10425e-06 0
2.1031 2.40396e-06 0
2.1041 4.20197e-06 0
2.10511 6.49737e-06 0
2.10611 9.28928e-06 0
2.10711 1.25768e-05 0
2.10811 1.63591e-05 0
2.10911 2.06352e-05 0
2.11011 2.54042e-05 0
2.11111 3.06654e-05 0
2.11211 3.64178e-05 0
2.11311 4.26605e-05 0
2.11411 4.93927e-05 0
2.11512 5.66135e-05 0
2.11612 6.43221e-05 0
2.11712 7.25175e-05 0
2.11812 8.11989e-05 0
2.11912 9.03655e-05 0
2.12012 0.000100016 0
2.12112 0.000110151 0
2.12212 0.000120768 0
2.12312 0.000131866 0
2.12412 0.000143446 0
2.12513 0.000155506 0
2.12613 0.000168045 0
2.12713 0.000181062 0
2.12813 0.000194557 0
2.12913 0.000208529 0
2.13013 0.000222976 0
2.13113 0.000237899 0
2.13213 0.000253296 0
2.13313 0.000269166 0
2.13413 0.000285509 0
2.13514 0.000302323 0
2.13614 0.000319609 0
2.13714 0.000337365 0
2.13814 0.00035559 0
2.13914 0.000374283 0
2.14014 0.000393445 0
2.14114 0.000413073 0
2.14214 0.000433167 0
2.14314 0.000453727 0
2.14414 0.000474751 0
2.14515 0.000496239 0
2.14615 0.00051819 0
2.14715 0.000540603 0
2.14815 0.000563478 0
2.14915 0.000586813 0
2.15015 0.000610607 0
2.15115 0.000634861 0
2.15215 0.000659573 0
2.15315 0.000684743 0
2.15415 0.000710369 0
2.15516 0.000736451 0
2.15616 0.000762988 0
2.15716 0.000789979 0
2.15816 0.000817425 0
2.15916 0.000845322 0
2.16016 0.000873672 0
2.16116 0.000902474 0
2.16216 0.000931726 0
2.16316 0.000961427 0
2.16416 0.000991578 0
2.16517 0.00102218 0
2.16617 0.00105322 0
2.16717 0.00108472 0
2.16817 0.00111666 0
2.16917 0.00114904 0
2.17017 0.00118187 0
2.17117 0.00121514 0
2.17217 0.00124886 0
2.17317 0.00128302 0
2.17417 0.00131762 0
2.17518 0.00135266 0
2.17618 0.00138814 0
2.17718 0.00142406 0
2.17818 0.00146042 0
2.17918 0.00149722 0
2.18018 0.00153445 0
2.18118 0.00157212 0
2.18218 0.00161023 0
2.18318 0.00164877 0
2.18418 0.00168775 0
2.18519 0.00172716 0
2.18619 0.001767 0
2.18719 0.00180728 0
2.18819 0.00184799 0
2.18919 0.00188912 0
2.19019 0.00193069 0
2.19119 0.00197269 0
2.19219 0.00201512 0
2.19319 0.00205797 0
2.19419 0.00210125 0
2.1952 0.00214496 0
2.1962 0.0021891 0
2.1972 0.00223366 0
2.1982 0.00227864 0
2.1992 0.00232405 0
2.2002 0.00236988 0
2.2012 0.00241613 0
2.2022 0.00246281 0
2.2032 0.00250991 0
2.2042 0.00255743 0
2.20521 0.00260536 0
2.20621 0.00265372 0
2.20721 0.0027025 0
2.20821 0.00275169 0
2.20921 0.0028013 0
2.21021 0.00285133 0
2.21121 0.00290177 0
2.21221 0.00295263 0
2.21321 0.0030039 0
2.21421 0.00305559 0
2.21522 0.00310769 0
2.21622 0.0031602 0
2.21722 0.00321312 0
2.21822 0.00326646 0
2.21922 0.00332021 0
2.22022 0.00337436 0
2.22122 0.00342893 0
2.22222 0.0034839 0
2.22322 0.00353928 0
2.22422 0.00359507 0
2.22523 0.00365127 0
2.22623 0.00370787 0
2.22723 0.00376488 0
2.22823 0.00382229 0
2.22923 0.00388011 0
2.23023 0.00393833 0
2.23123 0.00399696 0
2.23223 0.00405598 0
2.23323 0.00411541 0
2.23423 0.00417524 0
2.23524 0.00423547 0
2.23624 0.0042961 0
2.23724 0.00435713 0
2.23824 0.00441855 0
2.23924 0.00448038 0
2.24024 0.0045426 0
2.24124 0.00460522 0
2.24224 0.00466823 0
2.24324 0.00473165 0
2.24424 0.00479545 0
2.24525 0.00485965 0
2.24625 0.00492425 0
2.24725 0.00498923 0
2.24825 0.00505461 0
2.24925 0.00512038 0
2.25025 0.00518655 0
2.25125 0.0052531 0
2.25225 0.00532004 0
2.25325 0.00538738 0
2.25425 0.0054551 0
2.25526 0.00552321 0
2.25626 0.00559171 0
2.25726 0.00566059 0
2.25826 0.00572986 0
2.25926 0.00579952 0
2.26026 0.00586957 0
2.26126 0.00593999 0
2.26226 0.00601081 0
2.26326 0.006082 0
2.26426 0.00615358 0
2.26527 0.00622554 0
2.26627 0.00629789 0
2.26727 0.00637061 0
2.26827 0.00644372 0
2.26927 0.0065172 0
2.27027 0.00659107 0
2.27127 0.00666532 0
2.27227 0.00673994 0
2.27327 0.00681494 0
2.27427 0.00689032 0
2.27528 0.00696607 0
2.27628 0.00704221 0
2.27728 0.00711871 0
2.27828 0.0071956 0
2.27928 0.00727285 0
2.28028 0.00735048 0
2.28128 0.00742849 0
2.28228 0.00750687 0
2.28328 0.00758562 0
2.28428 0.00766474 0
2.28529 0.00774423 0
2.28629 0.0078241 0
2.28729 0.00790433 0
2.28829 0.00798493 0
2.28929 0.00806591 0
2.29029 0.00814725 0
2.29129 0.00822896 0
2.29229 0.00831104 0
2.29329 0.00839348 0
2.29429 0.00847629 0
2.2953 0.00855947 0
2.2963 0.00864301 0
2.2973 0.00872691 0
2.2983 0.00881118 0
2.2993 0.00889582 0
2.3003 0.00898082 0
2.3013 0.00906618 0
2.3023 0.0091519 0
2.3033 0.00923798 0
2.3043 0.00932443 0
2.30531 0.00941123 0
2.30631 0.0094984 0
2.30731 0.00958592 0
2.30831 0.00967381 0
